Ticker,year,month,first,last,monthly_return,type
NESTLEIND,2023,10,2231.52,2423.48,8.602208360220837,Gainer
COALINDIA,2023,10,291.9,314.25,7.65673175745119,Gainer
BAJAJ-AUTO,2023,10,5016.45,5314.05,5.932482133779872,Gainer
SBILIFE,2023,10,1292.45,1367.85,5.833881388061423,Gainer
TRENT,2023,10,2059.1,2154.7,4.642805109028212,Gainer
TATASTEEL,2023,10,128.0,118.75,-7.2265625,Loser
TECHM,2023,10,1216.2,1133.15,-6.828646604176941,Loser
SBIN,2023,10,602.95,565.55,-6.202836056057731,Loser
BAJFINANCE,2023,10,7967.6,7492.65,-5.961017119333309,Loser
APOLLOHOSP,2023,10,5118.95,4819.9,-5.842018382676138,Loser
TRENT,2023,11,2197.65,2787.0,26.817282096785195,Gainer
HEROMOTOCO,2023,11,3092.45,3819.05,23.495933644844715,Gainer
BPCL,2023,11,178.45,217.85,22.07901372933595,Gainer
EICHERMOT,2023,11,3282.25,3896.9,18.72648335745297,Gainer
APOLLOHOSP,2023,11,4796.55,5528.95,15.269308148565106,Gainer
BAJFINANCE,2023,11,7471.9,7121.9,-4.684216865857413,Loser
SBIN,2023,11,566.4,564.75,-0.2913135593220299,Loser
CIPLA,2023,11,1201.25,1212.3,0.919875130072837,Loser
NESTLEIND,2023,11,2387.27,2423.61,1.5222408860330061,Loser
ITC,2023,11,428.1,435.8,1.7986451763606606,Loser
BEL,2023,12,147.45,184.2,24.923702950152595,Gainer
ADANIPORTS,2023,12,827.8,1024.35,23.74365788837883,Gainer
ADANIENT,2023,12,2362.7,2848.95,20.580268337071995,Gainer
HINDALCO,2023,12,517.2,614.85,18.88051044083526,Gainer
ULTRACEMCO,2023,12,9033.85,10503.0,16.262722980788915,Gainer
HDFCLIFE,2023,12,682.15,646.7,-5.19680422194531,Loser
MARUTI,2023,12,10585.7,10302.3,-2.677196595407025,Loser
AXISBANK,2023,12,1104.65,1102.3,-0.21273706603902923,Loser
BAJAJFINSV,2023,12,1685.95,1685.8,-0.008897061004187013,Loser
SBILIFE,2023,12,1423.65,1432.6,0.6286657535208666,Loser
ONGC,2024,1,205.35,252.25,22.83905527148771,Gainer
SHRIRAMFIN,2024,1,2048.85,2466.8,20.399248358835457,Gainer
BHARTIARTL,2024,1,1013.05,1170.7,15.56191698336707,Gainer
ADANIPORTS,2024,1,1047.85,1207.65,15.250274371331793,Gainer
BAJAJ-AUTO,2024,1,6701.1,7667.55,14.422259032099205,Gainer
HDFCBANK,2024,1,1698.1,1462.55,-13.871385666332959,Loser
ASIANPAINT,2024,1,3396.1,2957.85,-12.904508112246402,Loser
HDFCLIFE,2024,1,648.7,576.6,-11.114536765839373,Loser
NESTLEIND,2024,1,2737.24,2506.0,-8.447925647732745,Loser
JSWSTEEL,2024,1,877.6,818.65,-6.717183226982685,Loser
TRENT,2024,2,3102.8,3881.8,25.10635554982596,Gainer
BPCL,2024,2,254.23,301.93,18.762537859418643,Gainer
M&M,2024,2,1651.15,1932.4,17.03358265451352,Gainer
SBIN,2024,2,647.65,748.1,15.509920481741691,Gainer
SUNPHARMA,2024,2,1407.95,1577.95,12.074292410952093,Gainer
HINDALCO,2024,2,571.25,503.85,-11.798687089715532,Loser
ITC,2024,2,442.9,406.3,-8.263716414540522,Loser
KOTAKBANK,2024,2,1822.75,1689.45,-7.313125771499106,Loser
INDUSINDBK,2024,2,1541.15,1474.9,-4.298737955422898,Loser
HDFCBANK,2024,2,1466.35,1403.4,-4.29297234630203,Loser
BAJAJ-AUTO,2024,3,8040.05,9148.15,13.782252597931599,Gainer
BAJFINANCE,2024,3,6571.45,7245.25,10.253444825723397,Gainer
BHARTIARTL,2024,3,1128.7,1228.6,8.85089040489057,Gainer
MARUTI,2024,3,11620.95,12600.35,8.427882402041137,Gainer
HINDALCO,2024,3,519.1,560.25,7.92718166056636,Gainer
INFY,2024,3,1654.7,1498.05,-9.46697286517194,Loser
TATACONSUM,2024,3,1186.26,1082.74,-8.726586077251191,Loser
WIPRO,2024,3,519.1,480.1,-7.513003274898863,Loser
HCLTECH,2024,3,1644.1,1543.55,-6.115808040873424,Loser
HINDUNILVR,2024,3,2409.7,2264.35,-6.031871187284721,Loser
EICHERMOT,2024,4,3946.65,4597.4,16.488667604170615,Gainer
TRENT,2024,4,3886.8,4409.9,13.458371925491392,Gainer
HINDALCO,2024,4,568.6,644.4,13.33098839254308,Gainer
M&M,2024,4,1915.95,2156.35,12.547300294892866,Gainer
BEL,2024,4,211.1,233.75,10.72951207958314,Gainer
HCLTECH,2024,4,1556.7,1366.6,-12.211729941543016,Loser
